1.106458008289337158e-01 2.651521444320678711e+00 1.134815812110900879e-01 2.301795959472656250e+00 1.839393782615661621e+01
1.111048534512519836e-01 2.302070140838623047e+00 1.134815812110900879e-01 2.301356077194213867e+00 2.071213245391845703e+00
1.109733805060386658e-01 2.301935195922851562e+00 1.134815812110900879e-01 2.302392959594726562e+00 1.940092325210571289e+00
1.112530156970024109e-01 2.301989316940307617e+00 1.134815812110900879e-01 2.302052021026611328e+00 1.927950143814086914e+00
1.112300679087638855e-01 2.301999330520629883e+00 1.134815812110900879e-01 2.303617000579833984e+00 2.054004669189453125e+00
1.102054715156555176e-01 2.302144289016723633e+00 1.134815812110900879e-01 2.302052974700927734e+00 1.926406145095825195e+00
1.116745024919509888e-01 2.302086353302001953e+00 1.134815812110900879e-01 2.301753997802734375e+00 2.039032697677612305e+00
1.104725822806358337e-01 2.301993608474731445e+00 1.134815812110900879e-01 2.301100730895996094e+00 1.967823505401611328e+00
1.099028959870338440e-01 2.302104711532592773e+00 1.134815812110900879e-01 2.301426410675048828e+00 1.874758243560791016e+00
1.102952137589454651e-01 2.302097558975219727e+00 1.134815812110900879e-01 2.301393032073974609e+00 1.945184707641601562e+00
1.105414330959320068e-01 2.302067279815673828e+00 1.134815812110900879e-01 2.302236080169677734e+00 2.029933214187622070e+00
1.094125732779502869e-01 2.302323818206787109e+00 1.134815812110900879e-01 2.301434278488159180e+00 2.129993677139282227e+00
1.107021719217300415e-01 2.302288293838500977e+00 1.134815812110900879e-01 2.301896333694458008e+00 1.833343505859375000e+00
1.110046580433845520e-01 2.302247047424316406e+00 1.134815812110900879e-01 2.302953004837036133e+00 1.859560966491699219e+00
1.103431880474090576e-01 2.302155733108520508e+00 1.134815812110900879e-01 2.302454948425292969e+00 2.242816925048828125e+00
1.113239228725433350e-01 2.302010297775268555e+00 1.134815812110900879e-01 2.302037715911865234e+00 1.950723171234130859e+00
